specification,k,method,replicate,held_out_cycle,ari
core6_all_equal,2,leave_cycle_out,5,2017-2018,1.0
core6_all_equal,2,leave_cycle_out,6,2021-2023,0.9849038914831552
core6_all_equal,3,bootstrap_refit,1,,0.9290607468209691
core6_all_equal,3,bootstrap_refit,2,,0.888636443266539
core6_all_equal,3,bootstrap_refit,3,,0.912552507312351
core6_all_equal,3,bootstrap_refit,4,,0.9467377290876935
core6_all_equal,3,bootstrap_refit,5,,0.9674847072989675
core6_all_equal,3,bootstrap_refit,6,,0.93754772228437
core6_all_equal,3,bootstrap_refit,7,,0.9604706649868867
core6_all_equal,3,bootstrap_refit,8,,0.9438653299072344
core6_all_equal,3,bootstrap_refit,9,,0.8279255777677402
core6_all_equal,3,bootstrap_refit,10,,0.9309077225308222
core6_all_equal,3,bootstrap_refit,11,,0.8787544596130898
core6_all_equal,3,bootstrap_refit,12,,0.9580150345763823
core6_all_equal,3,bootstrap_refit,13,,0.9572135833790151
core6_all_equal,3,bootstrap_refit,14,,0.8764688614655409
core6_all_equal,3,bootstrap_refit,15,,0.931427644618853
core6_all_equal,3,bootstrap_refit,16,,0.8970196752928429
core6_all_equal,3,bootstrap_refit,17,,0.8789736699791659
core6_all_equal,3,bootstrap_refit,18,,0.8914476998269659
core6_all_equal,3,bootstrap_refit,19,,0.9200595373372704
core6_all_equal,3,bootstrap_refit,20,,0.8672243009243596
core6_all_equal,3,bootstrap_refit,21,,0.9286709645440248
core6_all_equal,3,bootstrap_refit,22,,0.858100904949894
core6_all_equal,3,bootstrap_refit,23,,0.9271406907214896
core6_all_equal,3,bootstrap_refit,24,,0.8942486408028292
core6_all_equal,3,bootstrap_refit,25,,0.5669932396051319
core6_all_equal,3,bootstrap_refit,26,,0.9050945957194113
core6_all_equal,3,bootstrap_refit,27,,0.9037406482438181
core6_all_equal,3,bootstrap_refit,28,,0.8791302683179553
core6_all_equal,3,bootstrap_refit,29,,0.9331378050907048
core6_all_equal,3,bootstrap_refit,30,,0.9124562768182738
core6_all_equal,3,leave_cycle_out,1,2009-2010,0.9573587913643339
core6_all_equal,3,leave_cycle_out,2,2011-2012,0.9529700468478156
core6_all_equal,3,leave_cycle_out,3,2013-2014,0.9761575628801682
core6_all_equal,3,leave_cycle_out,4,2015-2016,0.9630208990907351
core6_all_equal,3,leave_cycle_out,5,2017-2018,0.9580700777475667
core6_all_equal,3,leave_cycle_out,6,2021-2023,0.9157861805458491
core6_all_equal,4,bootstrap_refit,1,,0.3608049449635874
core6_all_equal,4,bootstrap_refit,2,,0.3268136823996334
core6_all_equal,4,bootstrap_refit,3,,0.34887860103982715
core6_all_equal,4,bootstrap_refit,4,,0.8107456751638271
core6_all_equal,4,bootstrap_refit,5,,0.8367166670495613
core6_all_equal,4,bootstrap_refit,6,,0.8202745787320309
core6_all_equal,4,bootstrap_refit,7,,0.36092590268870145
core6_all_equal,4,bootstrap_refit,8,,0.79806027116157
core6_all_equal,4,bootstrap_refit,9,,0.8130701959764455
core6_all_equal,4,bootstrap_refit,10,,0.9562574046351401
core6_all_equal,4,bootstrap_refit,11,,0.3500795041360192
core6_all_equal,4,bootstrap_refit,12,,0.6769410372100999
core6_all_equal,4,bootstrap_refit,13,,0.3392532949915532
core6_all_equal,4,bootstrap_refit,14,,0.8497839276732642
core6_all_equal,4,bootstrap_refit,15,,0.6422775134427482
core6_all_equal,4,bootstrap_refit,16,,0.36245448644039896
core6_all_equal,4,bootstrap_refit,17,,0.8452237552808176
core6_all_equal,4,bootstrap_refit,18,,0.8076921451119023
core6_all_equal,4,bootstrap_refit,19,,0.36722902876371427
core6_all_equal,4,bootstrap_refit,20,,0.7876738687208761
core6_all_equal,4,bootstrap_refit,21,,0.3545617975232763
core6_all_equal,4,bootstrap_refit,22,,0.8730388974928928
core6_all_equal,4,bootstrap_refit,23,,0.7498741252961584
core6_all_equal,4,bootstrap_refit,24,,0.34267472486390355
core6_all_equal,4,bootstrap_refit,25,,0.5358402882275037
core6_all_equal,4,bootstrap_refit,26,,0.8389777982629469
core6_all_equal,4,bootstrap_refit,27,,0.32235958605513787
core6_all_equal,4,bootstrap_refit,28,,0.35586548122762734
core6_all_equal,4,bootstrap_refit,29,,0.3477360204177371
core6_all_equal,4,bootstrap_refit,30,,0.847994027834889
core6_all_equal,4,leave_cycle_out,1,2009-2010,0.8653547083797617
core6_all_equal,4,leave_cycle_out,2,2011-2012,0.9190398436134115
core6_all_equal,4,leave_cycle_out,3,2013-2014,0.8348862674338153
core6_all_equal,4,leave_cycle_out,4,2015-2016,0.9001025010991431
core6_all_equal,4,leave_cycle_out,5,2017-2018,0.8255946346027331
core6_all_equal,4,leave_cycle_out,6,2021-2023,0.8624373231949887
core6_all_equal,5,bootstrap_refit,1,,0.7267925455626428
core6_all_equal,5,bootstrap_refit,2,,0.8073742211848793
core6_all_equal,5,bootstrap_refit,3,,0.7401069035310254
core6_all_equal,5,bootstrap_refit,4,,0.8414797916315613
core6_all_equal,5,bootstrap_refit,5,,0.5513200833091735
core6_all_equal,5,bootstrap_refit,6,,0.9408890363958555
core6_all_equal,5,bootstrap_refit,7,,0.8202560645062771
core6_all_equal,5,bootstrap_refit,8,,0.38762107268059254
core6_all_equal,5,bootstrap_refit,9,,0.7863471794373675
core6_all_equal,5,bootstrap_refit,10,,0.8502638289737477
core6_all_equal,5,bootstrap_refit,11,,0.7481468264959645
core6_all_equal,5,bootstrap_refit,12,,0.40834721721222234
core6_all_equal,5,bootstrap_refit,13,,0.7335309010607856
core6_all_equal,5,bootstrap_refit,14,,0.4350131977240929
core6_all_equal,5,bootstrap_refit,15,,0.7983477881851321
core6_all_equal,5,bootstrap_refit,16,,0.7917912153037804
core6_all_equal,5,bootstrap_refit,17,,0.6927501145100797
core6_all_equal,5,bootstrap_refit,18,,0.7908731712369792
core6_all_equal,5,bootstrap_refit,19,,0.6184150474893899
core6_all_equal,5,bootstrap_refit,20,,0.749960946263107
core6_all_equal,5,bootstrap_refit,21,,0.4094435851746102
core6_all_equal,5,bootstrap_refit,22,,0.8407761027020457
core6_all_equal,5,bootstrap_refit,23,,0.7932143639141443
core6_all_equal,5,bootstrap_refit,24,,0.7977021966401934
core6_all_equal,5,bootstrap_refit,25,,0.38932461106792754
core6_all_equal,5,bootstrap_refit,26,,0.7572165905287058
core6_all_equal,5,bootstrap_refit,27,,0.7779481840136048
core6_all_equal,5,bootstrap_refit,28,,0.8128783871025215
core6_all_equal,5,bootstrap_refit,29,,0.9095382532709768
core6_all_equal,5,bootstrap_refit,30,,0.8336197450607976
core6_all_equal,5,leave_cycle_out,1,2009-2010,0.903506253761935
core6_all_equal,5,leave_cycle_out,2,2011-2012,0.92075236760169
core6_all_equal,5,leave_cycle_out,3,2013-2014,0.8925889194295845
core6_all_equal,5,leave_cycle_out,4,2015-2016,0.9074103466536196
core6_all_equal,5,leave_cycle_out,5,2017-2018,0.9552766654349996
core6_all_equal,5,leave_cycle_out,6,2021-2023,0.9001818943591969
core6_all_equal,6,bootstrap_refit,1,,0.6668598199384654
core6_all_equal,6,bootstrap_refit,2,,0.8704247472860845
core6_all_equal,6,bootstrap_refit,3,,0.7891837653054377
core6_all_equal,6,bootstrap_refit,4,,0.8321894840763286
core6_all_equal,6,bootstrap_refit,5,,0.5546551330730015
core6_all_equal,6,bootstrap_refit,6,,0.8034423441202795
core6_all_equal,6,bootstrap_refit,7,,0.8460470946596019
core6_all_equal,6,bootstrap_refit,8,,0.7755402477887148
core6_all_equal,6,bootstrap_refit,9,,0.8523845269741099
core6_all_equal,6,bootstrap_refit,10,,0.8554369644669191
core6_all_equal,6,bootstrap_refit,11,,0.6943024608233926
core6_all_equal,6,bootstrap_refit,12,,0.6785199370760329
core6_all_equal,6,bootstrap_refit,13,,0.8873806681600838
core6_all_equal,6,bootstrap_refit,14,,0.7311038071652692
core6_all_equal,6,bootstrap_refit,15,,0.6039854069085586
core6_all_equal,6,bootstrap_refit,16,,0.7530431893419157
core6_all_equal,6,bootstrap_refit,17,,0.8254230854204346
core6_all_equal,6,bootstrap_refit,18,,0.8637244478400435
core6_all_equal,6,bootstrap_refit,19,,0.908692534559492
core6_all_equal,6,bootstrap_refit,20,,0.7927339823174981
core6_all_equal,6,bootstrap_refit,21,,0.8984579100381042
core6_all_equal,6,bootstrap_refit,22,,0.6527183154004125
core6_all_equal,6,bootstrap_refit,23,,0.9153691355879199
core6_all_equal,6,bootstrap_refit,24,,0.8961852376321848
core6_all_equal,6,bootstrap_refit,25,,0.8119563379819522
core6_all_equal,6,bootstrap_refit,26,,0.6979943737366407
core6_all_equal,6,bootstrap_refit,27,,0.5950194658073191
core6_all_equal,6,bootstrap_refit,28,,0.6095415248839258
core6_all_equal,6,bootstrap_refit,29,,0.7949282283928536
core6_all_equal,6,bootstrap_refit,30,,0.6834043353702411
core6_all_equal,6,leave_cycle_out,1,2009-2010,0.8854758298608819
core6_all_equal,6,leave_cycle_out,2,2011-2012,0.9863702058668089
core6_all_equal,6,leave_cycle_out,3,2013-2014,0.8601956043176009
core6_all_equal,6,leave_cycle_out,4,2015-2016,0.8473381594760158
core6_all_equal,6,leave_cycle_out,5,2017-2018,0.9077663641242588
core6_all_equal,6,leave_cycle_out,6,2021-2023,0.88175570024095
core6_all_equal,7,bootstrap_refit,1,,0.4613530332092273
core6_all_equal,7,bootstrap_refit,2,,0.8084784248613974
core6_all_equal,7,bootstrap_refit,3,,0.515673051205051
core6_all_equal,7,bootstrap_refit,4,,0.3897165679707026
core6_all_equal,7,bootstrap_refit,5,,0.8113271123676606
core6_all_equal,7,bootstrap_refit,6,,0.4871697267131311
core6_all_equal,7,bootstrap_refit,7,,0.3860994738468967
core6_all_equal,7,bootstrap_refit,8,,0.5284390020878684
core6_all_equal,7,bootstrap_refit,9,,0.5017530907585492
core6_all_equal,7,bootstrap_refit,10,,0.866074169829967
core6_all_equal,7,bootstrap_refit,11,,0.5198391595389521
core6_all_equal,7,bootstrap_refit,12,,0.7946800100208662
core6_all_equal,7,bootstrap_refit,13,,0.855614729385593
core6_all_equal,7,bootstrap_refit,14,,0.4179021722425277
core6_all_equal,7,bootstrap_refit,15,,0.4593159546017318
core6_all_equal,7,bootstrap_refit,16,,0.8616175730097041
core6_all_equal,7,bootstrap_refit,17,,0.3563710556726821
core6_all_equal,7,bootstrap_refit,18,,0.6366560636450616
core6_all_equal,7,bootstrap_refit,19,,0.3862439430012924
core6_all_equal,7,bootstrap_refit,20,,0.6225434542079088
core6_all_equal,7,bootstrap_refit,21,,0.7434815498738065
core6_all_equal,7,bootstrap_refit,22,,0.751510606254362
core6_all_equal,7,bootstrap_refit,23,,0.8406475569462505
core6_all_equal,7,bootstrap_refit,24,,0.7544903609078749
core6_all_equal,7,bootstrap_refit,25,,0.8447451385452909
core6_all_equal,7,bootstrap_refit,26,,0.41934143975266863
core6_all_equal,7,bootstrap_refit,27,,0.48523783465241666
core6_all_equal,7,bootstrap_refit,28,,0.37729874494074045
core6_all_equal,7,bootstrap_refit,29,,0.34295704314931075
core6_all_equal,7,bootstrap_refit,30,,0.8449896254256455
core6_all_equal,7,leave_cycle_out,1,2009-2010,0.5095723428702661
core6_all_equal,7,leave_cycle_out,2,2011-2012,0.9324442191501937
core6_all_equal,7,leave_cycle_out,3,2013-2014,0.5191717589792334
core6_all_equal,7,leave_cycle_out,4,2015-2016,0.9352017334039201
core6_all_equal,7,leave_cycle_out,5,2017-2018,0.9552808912030086
core6_all_equal,7,leave_cycle_out,6,2021-2023,0.9200343554944166
core6_all_equal,8,bootstrap_refit,1,,0.521650786425377
core6_all_equal,8,bootstrap_refit,2,,0.5519711562821311
core6_all_equal,8,bootstrap_refit,3,,0.7171320991384883
core6_all_equal,8,bootstrap_refit,4,,0.5402588046784242
core6_all_equal,8,bootstrap_refit,5,,0.4825327565570096
core6_all_equal,8,bootstrap_refit,6,,0.4938840442519667
core6_all_equal,8,bootstrap_refit,7,,0.7512986056204961
core6_all_equal,8,bootstrap_refit,8,,0.5041662372398922
core6_all_equal,8,bootstrap_refit,9,,0.5409724990340338
core6_all_equal,8,bootstrap_refit,10,,0.6228360030787414
core6_all_equal,8,bootstrap_refit,11,,0.5799651077583277
core6_all_equal,8,bootstrap_refit,12,,0.5192323188185667
core6_all_equal,8,bootstrap_refit,13,,0.5485088948769888
core6_all_equal,8,bootstrap_refit,14,,0.6612784105042181
core6_all_equal,8,bootstrap_refit,15,,0.6174964795386946
core6_all_equal,8,bootstrap_refit,16,,0.8167302359575251
core6_all_equal,8,bootstrap_refit,17,,0.5473193194756524
core6_all_equal,8,bootstrap_refit,18,,0.5034252062623299
core6_all_equal,8,bootstrap_refit,19,,0.5383367105521549
core6_all_equal,8,bootstrap_refit,20,,0.5032619190305582
core6_all_equal,8,bootstrap_refit,21,,0.6466594235124125
core6_all_equal,8,bootstrap_refit,22,,0.7693352813479273
core6_all_equal,8,bootstrap_refit,23,,0.7084304553036047
core6_all_equal,8,bootstrap_refit,24,,0.6182397847533481
core6_all_equal,8,bootstrap_refit,25,,0.8564272446218397
core6_all_equal,8,bootstrap_refit,26,,0.49782812903873314
core6_all_equal,8,bootstrap_refit,27,,0.7855132069444855
core6_all_equal,8,bootstrap_refit,28,,0.6740415086812409
core6_all_equal,8,bootstrap_refit,29,,0.5385340109421306
core6_all_equal,8,bootstrap_refit,30,,0.4654440387489971
core6_all_equal,8,leave_cycle_out,1,2009-2010,0.8985593578316073
core6_all_equal,8,leave_cycle_out,2,2011-2012,0.9103100233661745
core6_all_equal,8,leave_cycle_out,3,2013-2014,0.5640376568431281
core6_all_equal,8,leave_cycle_out,4,2015-2016,0.6554618714362354
core6_all_equal,8,leave_cycle_out,5,2017-2018,0.851447445014802
core6_all_equal,8,leave_cycle_out,6,2021-2023,0.865009385656761
core6_all_equal,9,bootstrap_refit,1,,0.527008261268009
core6_all_equal,9,bootstrap_refit,2,,0.44549949203860995
core6_all_equal,9,bootstrap_refit,3,,0.6215099110808759
core6_all_equal,9,bootstrap_refit,4,,0.45541115778955615
core6_all_equal,9,bootstrap_refit,5,,0.6238261426980266
core6_all_equal,9,bootstrap_refit,6,,0.543370988232474
core6_all_equal,9,bootstrap_refit,7,,0.4971362802304961
core6_all_equal,9,bootstrap_refit,8,,0.5476336209887083
core6_all_equal,9,bootstrap_refit,9,,0.4608618038106939
core6_all_equal,9,bootstrap_refit,10,,0.4517725473152819
core6_all_equal,9,bootstrap_refit,11,,0.6149710164987363
core6_all_equal,9,bootstrap_refit,12,,0.5371697867083289
core6_all_equal,9,bootstrap_refit,13,,0.48472036236353255
core6_all_equal,9,bootstrap_refit,14,,0.7366097192020276
core6_all_equal,9,bootstrap_refit,15,,0.49111052998443616
core6_all_equal,9,bootstrap_refit,16,,0.45629190995722135
core6_all_equal,9,bootstrap_refit,17,,0.454245432045887
core6_all_equal,9,bootstrap_refit,18,,0.8172705475013697
core6_all_equal,9,bootstrap_refit,19,,0.46668466398260305
core6_all_equal,9,bootstrap_refit,20,,0.5029048804595745
core6_all_equal,9,bootstrap_refit,21,,0.6350745967448548
core6_all_equal,9,bootstrap_refit,22,,0.4879213285828037
core6_all_equal,9,bootstrap_refit,23,,0.7397967641980518
core6_all_equal,9,bootstrap_refit,24,,0.4669547622536534
core6_all_equal,9,bootstrap_refit,25,,0.5292798499804909
core6_all_equal,9,bootstrap_refit,26,,0.6368293138885033
core6_all_equal,9,bootstrap_refit,27,,0.4831176808803387
core6_all_equal,9,bootstrap_refit,28,,0.4431756131001951
core6_all_equal,9,bootstrap_refit,29,,0.4629341998541204
core6_all_equal,9,bootstrap_refit,30,,0.7282583090246972
core6_all_equal,9,leave_cycle_out,1,2009-2010,0.566445222987187
core6_all_equal,9,leave_cycle_out,2,2011-2012,0.8937444984005085
core6_all_equal,9,leave_cycle_out,3,2013-2014,0.5132342263370473
core6_all_equal,9,leave_cycle_out,4,2015-2016,0.5020011192100361
core6_all_equal,9,leave_cycle_out,5,2017-2018,0.46463861150232
core6_all_equal,9,leave_cycle_out,6,2021-2023,0.4548102235604438
core6_all_equal,10,bootstrap_refit,1,,0.5486517715718001
core6_all_equal,10,bootstrap_refit,2,,0.6757098900219527
core6_all_equal,10,bootstrap_refit,3,,0.45555817692145467
core6_all_equal,10,bootstrap_refit,4,,0.4138147067956364
core6_all_equal,10,bootstrap_refit,5,,0.44609381379506996
core6_all_equal,10,bootstrap_refit,6,,0.584838541641371
core6_all_equal,10,bootstrap_refit,7,,0.5258510798108271
core6_all_equal,10,bootstrap_refit,8,,0.6450763573212832
core6_all_equal,10,bootstrap_refit,9,,0.5104165163430642
core6_all_equal,10,bootstrap_refit,10,,0.4058063834603605
core6_all_equal,10,bootstrap_refit,11,,0.553196100974371
core6_all_equal,10,bootstrap_refit,12,,0.5713824535335122
core6_all_equal,10,bootstrap_refit,13,,0.5692874837903111
core6_all_equal,10,bootstrap_refit,14,,0.5596295516407767
core6_all_equal,10,bootstrap_refit,15,,0.4658892242761876
core6_all_equal,10,bootstrap_refit,16,,0.46825645156315154
core6_all_equal,10,bootstrap_refit,17,,0.477573938875931
core6_all_equal,10,bootstrap_refit,18,,0.5761136173537833
core6_all_equal,10,bootstrap_refit,19,,0.8075081484511556
core6_all_equal,10,bootstrap_refit,20,,0.5243709127050131
core6_all_equal,10,bootstrap_refit,21,,0.5637585923716915
core6_all_equal,10,bootstrap_refit,22,,0.4449355572332921
core6_all_equal,10,bootstrap_refit,23,,0.7496424787539823
core6_all_equal,10,bootstrap_refit,24,,0.525653978290993
core6_all_equal,10,bootstrap_refit,25,,0.42630349681900026
core6_all_equal,10,bootstrap_refit,26,,0.48348751780889915
core6_all_equal,10,bootstrap_refit,27,,0.5025636021484097
core6_all_equal,10,bootstrap_refit,28,,0.7598300168265759
core6_all_equal,10,bootstrap_refit,29,,0.7729713888785156
core6_all_equal,10,bootstrap_refit,30,,0.5766504225078396
core6_all_equal,10,leave_cycle_out,1,2009-2010,0.6631210566559314
core6_all_equal,10,leave_cycle_out,2,2011-2012,0.5318971762939072
core6_all_equal,10,leave_cycle_out,3,2013-2014,0.8008054759009943
core6_all_equal,10,leave_cycle_out,4,2015-2016,0.6770088371167206
core6_all_equal,10,leave_cycle_out,5,2017-2018,0.6424248497702277
core6_all_equal,10,leave_cycle_out,6,2021-2023,0.4086450932750554
core6_all_equal,11,bootstrap_refit,1,,0.48149574072957646
core6_all_equal,11,bootstrap_refit,2,,0.5110183434070955
core6_all_equal,11,bootstrap_refit,3,,0.5326474823618342
core6_all_equal,11,bootstrap_refit,4,,0.5477079364922379
core6_all_equal,11,bootstrap_refit,5,,0.6021341844587946
core6_all_equal,11,bootstrap_refit,6,,0.6621818300221963
core6_all_equal,11,bootstrap_refit,7,,0.5247293327031005
core6_all_equal,11,bootstrap_refit,8,,0.5707201624343111
core6_all_equal,11,bootstrap_refit,9,,0.4801630995687789
core6_all_equal,11,bootstrap_refit,10,,0.47558011086328883
core6_all_equal,11,bootstrap_refit,11,,0.4388972796094286
core6_all_equal,11,bootstrap_refit,12,,0.5218235869767295
core6_all_equal,11,bootstrap_refit,13,,0.48741994953313805
core6_all_equal,11,bootstrap_refit,14,,0.44973727107724787
core6_all_equal,11,bootstrap_refit,15,,0.6205170957426931
core6_all_equal,11,bootstrap_refit,16,,0.3956358215181212
core6_all_equal,11,bootstrap_refit,17,,0.37171626757615905
core6_all_equal,11,bootstrap_refit,18,,0.6503797829808008
core6_all_equal,11,bootstrap_refit,19,,0.5058570996739616
core6_all_equal,11,bootstrap_refit,20,,0.43039937414936263
core6_all_equal,11,bootstrap_refit,21,,0.4840090511530724
core6_all_equal,11,bootstrap_refit,22,,0.7531778862866609
core6_all_equal,11,bootstrap_refit,23,,0.4494550179935065
core6_all_equal,11,bootstrap_refit,24,,0.820254707892175
core6_all_equal,11,bootstrap_refit,25,,0.5557050393016818
core6_all_equal,11,bootstrap_refit,26,,0.5436095282126872
core6_all_equal,11,bootstrap_refit,27,,0.6804211071066011
core6_all_equal,11,bootstrap_refit,28,,0.4187869615415294
core6_all_equal,11,bootstrap_refit,29,,0.4944374233833186
core6_all_equal,11,bootstrap_refit,30,,0.5739160380795562
core6_all_equal,11,leave_cycle_out,1,2009-2010,0.6057102150298262
core6_all_equal,11,leave_cycle_out,2,2011-2012,0.8408535436474025
core6_all_equal,11,leave_cycle_out,3,2013-2014,0.6263935588443809
core6_all_equal,11,leave_cycle_out,4,2015-2016,0.7276404272182648
core6_all_equal,11,leave_cycle_out,5,2017-2018,0.6810015876273281
core6_all_equal,11,leave_cycle_out,6,2021-2023,0.5160436205139233
core6_all_equal,12,bootstrap_refit,1,,0.6236996080786629
core6_all_equal,12,bootstrap_refit,2,,0.631774767423968
core6_all_equal,12,bootstrap_refit,3,,0.5354942353539032
core6_all_equal,12,bootstrap_refit,4,,0.4994989559658788
core6_all_equal,12,bootstrap_refit,5,,0.5459552104375507
core6_all_equal,12,bootstrap_refit,6,,0.5852803857289567
core6_all_equal,12,bootstrap_refit,7,,0.4907356361454683
core6_all_equal,12,bootstrap_refit,8,,0.5508182884665563
core6_all_equal,12,bootstrap_refit,9,,0.49277361383775525
core6_all_equal,12,bootstrap_refit,10,,0.42013098497551904
core6_all_equal,12,bootstrap_refit,11,,0.4234560906933351
core6_all_equal,12,bootstrap_refit,12,,0.48418008903422044
core6_all_equal,12,bootstrap_refit,13,,0.5157590417167
core6_all_equal,12,bootstrap_refit,14,,0.557335268351859
core6_all_equal,12,bootstrap_refit,15,,0.6037801718349634
core6_all_equal,12,bootstrap_refit,16,,0.4703808769697146
core6_all_equal,12,bootstrap_refit,17,,0.5891132738630966
core6_all_equal,12,bootstrap_refit,18,,0.5355440190083959
core6_all_equal,12,bootstrap_refit,19,,0.32757614365057647
core6_all_equal,12,bootstrap_refit,20,,0.5652127668378379
core6_all_equal,12,bootstrap_refit,21,,0.5619855698912236
core6_all_equal,12,bootstrap_refit,22,,0.5350583867509238
core6_all_equal,12,bootstrap_refit,23,,0.582436361540335
core6_all_equal,12,bootstrap_refit,24,,0.5634843140194112
core6_all_equal,12,bootstrap_refit,25,,0.4751957286457215
core6_all_equal,12,bootstrap_refit,26,,0.4505226577996512
core6_all_equal,12,bootstrap_refit,27,,0.44925362996081586
core6_all_equal,12,bootstrap_refit,28,,0.503807631384673
core6_all_equal,12,bootstrap_refit,29,,0.4790118325347324
core6_all_equal,12,bootstrap_refit,30,,0.6253488978504294
core6_all_equal,12,leave_cycle_out,1,2009-2010,0.5439377350171861
core6_all_equal,12,leave_cycle_out,2,2011-2012,0.9232593013399376
core6_all_equal,12,leave_cycle_out,3,2013-2014,0.5705538709996635
core6_all_equal,12,leave_cycle_out,4,2015-2016,0.6147757214245203
core6_all_equal,12,leave_cycle_out,5,2017-2018,0.632844631639296
core6_all_equal,12,leave_cycle_out,6,2021-2023,0.6257233536602046
core6_all_equal,13,bootstrap_refit,1,,0.3946610194721023
core6_all_equal,13,bootstrap_refit,2,,0.3873875010961318
core6_all_equal,13,bootstrap_refit,3,,0.37795510780026725
core6_all_equal,13,bootstrap_refit,4,,0.35902067230413737
core6_all_equal,13,bootstrap_refit,5,,0.3711788857967658
core6_all_equal,13,bootstrap_refit,6,,0.3516634309840846
core6_all_equal,13,bootstrap_refit,7,,0.46216579618125647
core6_all_equal,13,bootstrap_refit,8,,0.38023651116376184
core6_all_equal,13,bootstrap_refit,9,,0.32801392055167916
core6_all_equal,13,bootstrap_refit,10,,0.37525473145139854
core6_all_equal,13,bootstrap_refit,11,,0.475247977900687
core6_all_equal,13,bootstrap_refit,12,,0.5410920435570791
core6_all_equal,13,bootstrap_refit,13,,0.39440220517680635
core6_all_equal,13,bootstrap_refit,14,,0.5559381674533008
core6_all_equal,13,bootstrap_refit,15,,0.46208993584571095
core6_all_equal,13,bootstrap_refit,16,,0.45569101068567613
core6_all_equal,13,bootstrap_refit,17,,0.4161680511026439
core6_all_equal,13,bootstrap_refit,18,,0.41559960534044293
core6_all_equal,13,bootstrap_refit,19,,0.4997941635307171
core6_all_equal,13,bootstrap_refit,20,,0.4100206459438146
core6_all_equal,13,bootstrap_refit,21,,0.48811679014295173
core6_all_equal,13,bootstrap_refit,22,,0.4563168300695887
core6_all_equal,13,bootstrap_refit,23,,0.47786477249753473
core6_all_equal,13,bootstrap_refit,24,,0.4725236436685365
core6_all_equal,13,bootstrap_refit,25,,0.372779106974772
core6_all_equal,13,bootstrap_refit,26,,0.40661838218487234
core6_all_equal,13,bootstrap_refit,27,,0.4024447680817825
core6_all_equal,13,bootstrap_refit,28,,0.5558209999721491
core6_all_equal,13,bootstrap_refit,29,,0.45021346643834526
core6_all_equal,13,bootstrap_refit,30,,0.5254289074074141
core6_all_equal,13,leave_cycle_out,1,2009-2010,0.5031545368060847
core6_all_equal,13,leave_cycle_out,2,2011-2012,0.6682387455553183
core6_all_equal,13,leave_cycle_out,3,2013-2014,0.6471906040992559
core6_all_equal,13,leave_cycle_out,4,2015-2016,0.5685041750241092
core6_all_equal,13,leave_cycle_out,5,2017-2018,0.6375259465809656
core6_all_equal,13,leave_cycle_out,6,2021-2023,0.5333349984996172
core6_all_equal,14,bootstrap_refit,1,,0.40306961037049055
core6_all_equal,14,bootstrap_refit,2,,0.4459463048893117
core6_all_equal,14,bootstrap_refit,3,,0.6202447368105939
core6_all_equal,14,bootstrap_refit,4,,0.41519155250415385
core6_all_equal,14,bootstrap_refit,5,,0.5020080976282827
core6_all_equal,14,bootstrap_refit,6,,0.4423323062171241
core6_all_equal,14,bootstrap_refit,7,,0.3986983924236635
core6_all_equal,14,bootstrap_refit,8,,0.40877184882526535
